epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
40,0.10575735375091495,0.9641231716300116,14523,587,252,8027,8027,252,587,14523,0.12775248503840345,0.9498987854251012,2404,55,143,1335,1335,143,55,2404,2026-08-27 06:53:58,234.61,550.62
41,0.11201430241390681,0.9613970588235294,14475,603,300,8011,8011,300,603,14475,0.11698757427243087,0.957742914979757,2518,138,29,1252,1252,29,138,2518,2026-08-27 06:54:51,234.51,550.62
42,0.11768938371180347,0.9574640902872777,14475,695,300,7919,7919,300,695,14475,0.11165227071921292,0.9595141700404858,2498,111,49,1279,1279,49,111,2498,2026-08-27 06:57:06,234.57,550.62
41,0.1034668796114807,0.9655766600021046,14549,579,226,8035,8035,226,579,14549,0.11532171425006167,0.9622975708502024,2533,135,14,1255,1255,14,135,2533,2026-08-27 06:57:53,234.51,550.62
42,0.11732073368953105,0.9572930916552668,14455,679,320,7935,7935,320,679,14455,0.10637071664890026,0.9622975708502024,2501,103,46,1287,1287,46,103,2501,2026-08-27 06:58:45,234.7,550.62
43,0.10842028373110882,0.9624559349679048,14498,601,277,8013,8013,277,601,14498,0.1064116903656136,0.9663461538461539,2508,94,39,1296,1296,39,94,2508,2026-08-27 07:01:00,234.48,550.62
42,0.0996588107283519,0.9667309007681785,14547,550,228,8064,8064,228,550,14547,0.10446708199948918,0.9625506072874493,2470,71,77,1319,1319,77,71,2470,2026-08-27 07:01:47,234.53,550.62
43,0.11627011235712431,0.9589077133536777,14476,662,299,7952,7952,299,662,14476,0.10386201205591743,0.9655870445344129,2490,79,57,1311,1311,57,79,2490,2026-08-27 07:02:40,234.66,550.62
44,0.10561395834710337,0.9630018152162475,14497,587,278,8027,8027,278,587,14497,0.10952049591823627,0.9605263157894737,2455,64,92,1326,1326,92,64,2455,2026-08-27 07:04:55,234.63,550.62
43,0.10879593131657328,0.964379669578028,14542,600,233,8014,8014,233,600,14542,0.11355376583693723,0.9620445344129555,2479,82,68,1308,1308,68,82,2479,2026-08-27 07:05:42,234.64,550.62
44,0.106081901499734,0.9635575607702831,14522,599,253,8015,8015,253,599,14522,0.10701814506519661,0.9630566801619433,2496,95,51,1295,1295,51,95,2496,2026-08-27 07:06:34,234.35,550.62
45,0.10451034111529461,0.96421853625171,14493,555,282,8059,8059,282,555,14493,0.11116635202909046,0.958502024291498,2480,82,67,1308,1308,67,82,2480,2026-08-27 07:08:49,233.85,550.62
44,0.10811864864128921,0.9651294328106913,14540,580,235,8034,8034,235,580,14540,0.10954957054023017,0.9600202429149798,2513,124,34,1266,1266,34,124,2513,2026-08-27 07:09:36,233.89,550.62
